Time	Velocity
0	0
0.1	0.03
0.2	0.13
0.3	0.29
0.4	0.48
0.5	0.7
0.6	0.91
0.7	1.11
0.8	1.26
0.9	1.36
1	1.4
1.1	1.4
1.2	1.4
1.3	1.4
1.4	1.4
1.5	1.37
1.6	1.28
1.7	1.13
1.8	0.94
1.9	0.73
2	0.51
2.1	0.31
2.2	0.15
2.3	0.04
0	0
0.1	-0.04
0.2	-0.19
0.3	-0.43
0.4	-0.7
0.5	-0.94
0.6	-1.19
0.7	-1.35
0.8	-1.4
0.9	-1.35
1	-1.2
1.1	-0.97
1.2	-0.73
1.3	-0.44
0	0
0.1	-0.04
0.2	-0.2
0.3	-0.4
0.4	-0.67
0.5	-0.97
0.6	-1.19
0.7	-1.35
0.8	-1.4
0.9	-1.35
1	-1.2
1.1	-1
1.2	-0.7
1.3	-0.43
0	0
0.1	-0.05
0.2	-0.2
0.3	-0.43
0.4	-0.7
0.5	-0.94
0.6	-1.19
0.7	-1.33
0.8	-1.4
0.9	-1.35
1	-1.22
1.1	-0.97
1.2	-0.7
1.3	-0.44
0	0
0.1	-0.05
0.2	-0.2
0.3	-0.43
0.4	-0.67
0.5	-0.97
0.6	-1.19
0.7	-1.35
0.8	-1.4
0.9	-1.4
1	-1.4
1.1	-1.4
1.2	-1.4
1.3	-1.35
1.4	-1.2
1.5	-0.97
1.6	-0.7
1.7	-0.43
0	0
0.1	-0.05
0.2	-0.2
0.3	-0.43
0.4	-0.7
0.5	-0.96
0.6	-1.19
0.7	-1.35
0.8	-1.4
0.9	-1.4
1	-1.4
1.1	-1.4
1.2	-1.4
1.3	-1.35
1.4	-1.2
1.5	-0.97
1.6	-0.7
1.7	-0.44
0	0
0.1	-0.05
0.2	-0.2
0.3	-0.43
0.4	-0.7
0.5	-0.96
0.6	-1.19
0.7	-1.34
0.8	-1.4
0.9	-1.4
1	-1.4
1.1	-1.4
1.2	-1.4
0	0
0.1	-0.06
0.2	-0.22
0.3	-0.48
0.4	-0.81
0.5	-1.09
0.6	-1.3
0.7	-1.39
0.8	-1.37
0.9	-1.23
1	-0.99
1.1	-0.69
1.2	-0.4
0	0
0.1	-0.05
0.2	-0.25
0.3	-0.51
0.4	-0.78
0.5	-1.09
0.6	-1.28
0.7	-1.4
0.8	-1.36
0.9	-1.2
1	-0.95
1.1	-0.69
1.2	-0.4
0	0
0.1	-0.05
0.2	-0.24
0.3	-0.51
0.4	-0.81
0.5	-1.09
0.6	-1.3
0.7	-1.4
0.8	-1.36
0.9	-1.23
1	-0.96
1.1	-0.66
1.2	-0.37
0	0
0.1	-0.05
0.2	-0.25
0.3	-0.51
0.4	-0.81
0.5	-1.06
0.6	-1.3
0.7	-1.39
0.8	-1.37
0.9	-1.23
1	-0.99
1.1	-0.69
1.2	-0.39
0	0
0.1	-0.05
0.2	-0.22
0.3	-0.48
0.4	-0.78
0.5	-1.06
0.6	-1.28
0.7	-1.39
0.8	-1.37
0.9	-1.23
1	-0.99
1.1	-0.69
1.2	-0.4
0	0
0.1	-0.06
0.2	-0.24
0.3	-0.51
0.4	-0.81
0.5	-1.09
0.6	-1.3
0.7	-1.39
0.8	-1.36
0.9	-1.2
1	-0.99
1.1	-0.66
1.2	-0.37
0	0
0.1	-0.05
0.2	-0.19
0.3	-0.38
0.4	-0.64
0.5	-0.85
0.6	-1.02
0.7	-1.1
0.8	-1.1
0.9	-1.1
1	-1.07
1.1	-0.95
1.2	-0.77
1.3	-0.51
1.4	-0.29
0	0
0.1	-0.05
0.2	-0.19
0.3	-0.4
0.4	-0.63
0.5	-0.85
0.6	-1.02
0.7	-1.1
0.8	-1.1
0.9	-1.1
1	-1.07
1.1	-0.95
1.2	-0.75
1.3	-0.52
1.4	-0.29
0	0
0.1	-0.05
0.2	-0.19
0.3	-0.4
0.4	-0.63
0.5	-0.85
0.6	-1.02
0.7	-1.1
0.8	-1.1
0.9	-1.1
1	-1.07
1.1	-0.95
1.2	-0.75
1.3	-0.52
1.4	-0.29
0	0
0.1	-0.09
0.2	-0.43
0.3	-0.8
0.4	-1.28
0.5	-1.59
0.6	-1.7
0.7	-1.59
0.8	-1.27
0.9	-0.85
1	-0.42
0	0
0.1	-0.11
0.2	-0.38
0.3	-0.85
0.4	-1.28
0.5	-1.59
0.6	-1.7
0.7	-1.59
0.8	-1.27
0.9	-0.85
1	-0.42
0	0
0.1	-0.09
0.2	-0.39
0.3	-0.8
0.4	-1.24
0.5	-1.56
0.6	-1.7
0.7	-1.61
0.8	-1.28
0.9	-0.9
1	-0.43
0	0
0.1	-0.08
0.2	-0.38
0.3	-0.75
0.4	-1.09
0.5	-1.4
0.6	-1.5
0.7	-1.49
0.8	-1.35
0.9	-1.05
1	-0.66
0	0
0.1	-0.09
0.2	-0.35
0.3	-0.66
0.4	-1.05
0.5	-1.31
0.6	-1.4
0.7	-1.4
0.8	-1.34
0.9	-1.15
1	-0.78
1.1	-0.43
0	0
0.1	-0.09
0.2	-0.32
0.3	-0.7
0.4	-1.05
0.5	-1.31
0.6	-1.4
0.7	-1.4
0.8	-1.34
0.9	-1.15
1	-0.78
1.1	-0.42
0	0
0.1	-0.09
0.2	-0.35
0.3	-0.7
0.4	-1.02
0.5	-1.29
0.6	-1.4
0.7	-1.4
0.8	-1.36
0.9	-1.15
1	-0.82
1.1	-0.46
0	0
0.1	-0.07
0.2	-0.32
0.3	-0.7
0.4	-1.05
0.5	-1.29
0.6	-1.4
0.7	-1.4
0.8	-1.34
0.9	-1.12
1	-0.78
1.1	-0.42
